name,lookup,type,min_lag,max_lag,keep_all
BKR_CLOSE_24,BKR_CLOSE,background,0,24,true
BKR_CLUSTER_24,BKR_OPEN,cluster,0,24,false
BKR_CLUSTER_168,BKR_OPEN,cluster,0,168,false
BKR_OPEN_24,BKR_OPEN,background,0,24,true
SUBSTATION_FAULT_24,SUBSTATION_FAULT,trigger,0,24,false
SUBSTATION_TEMP_FAULT_24,SUBSTATION_TEMP_FAULT,trigger,0,24,false
FEEDER_FAULT_24,FEEDER_FAULT,trigger,0,24,false
FEEDER_TEMP_FAULT_24,FEEDER_TEMP_FAULT,trigger,0,24,false
CURRENT_LIMIT_24,CURRENT_LIMIT,flag,0,24,false
HARDENING,HARDENING,duration,0,0,false
HIGH_VOLTAGE_24,HIGH_VOLTAGE,flag,0,24,false
INTELI_HIGH_VOLTAGE_24,INTELI_HIGH_VOLTAGE,flag,0,24,false
KV,KV,constant,0,24,false
LG_PD_10_24,LG_PD_10,background,0,24,false
PCT_UG,PCT_UG,constant,0,24,false
PF_SPIKES_24,PF_SPIKES,background,0,24,false
REGULATOR_BLOCK_24,REGULATOR_BLOCK,background,0,24,true
THD_SPIKES_24,THD_SPIKES,background,0,24,false
VOLTAGE_DROP_24,VOLTAGE_DROP,flag,0,24,false
INTELI_VOLTAGE_DROP_24,INTELI_VOLTAGE_DROP,flag,0,24,false
ZERO_RULE_24,ZERO_RULE,background,0,24,false
